M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
526000.0,8.268006973781965
526100.0,8.268006973781965
526200.0,8.268006973781965
526300.0,8.268006973781965
526400.0,8.268006973781965
526500.0,8.268006973781965
526600.0,8.268006973781965
526700.0,8.268006973781965
526800.0,8.268006973781965
526900.0,8.268006973781965
527000.0,8.268006973781965
527100.0,8.268006973781965
527200.0,8.268006973781965
527300.0,8.268006973781965
527400.0,8.268006973781965
527500.0,8.268006973781965
527600.0,8.268006973781965
527700.0,8.268006973781965
527800.0,8.268006973781965
527900.0,8.268006973781965
528000.0,8.268006973781965
528100.0,8.268006973781965
528200.0,8.268006973781965
528300.0,8.268006973781965
528400.0,8.268006973781965
528500.0,8.268006973781965
528600.0,8.268006973781965
528700.0,8.268006973781965
528800.0,8.268006973781965
528900.0,8.268006973781965
529000.0,8.268006973781965
529100.0,8.268006973781965
529200.0,8.268006973781965
529300.0,8.268006973781965
529400.0,8.268006973781965
529500.0,8.268006973781965
529600.0,8.268006973781965
529700.0,8.268006973781965
529800.0,8.268006973781965
529900.0,8.268006973781965
530000.0,8.268006973781965
530100.0,8.268006973781965
530200.0,8.268006973781965
530300.0,8.268006973781965
530400.0,8.268006973781965
530500.0,8.268006973781965
530600.0,8.268006973781965
530700.0,8.268006973781965
530800.0,8.268006973781965
530900.0,8.268006973781965
531000.0,8.268006973781965
531100.0,8.268006973781965
531200.0,8.268006973781965
531300.0,8.268006973781965
531400.0,8.268006973781965
531500.0,8.268006973781965
531600.0,8.268006973781965
531700.0,8.268006973781965
531800.0,8.268006973781965
531900.0,8.268006973781965
532000.0,8.268006973781965
532100.0,8.268006973781965
532200.0,8.268006973781965
532300.0,8.268006973781965
532400.0,8.268006973781965
532500.0,8.268006973781965
532600.0,8.268006973781965
532700.0,8.268006973781965
532800.0,8.268006973781965
532900.0,8.268006973781965
533000.0,8.268006973781965
533100.0,8.268006973781965
533200.0,8.268006973781965
533300.0,8.268006973781965
533400.0,8.268006973781965
533500.0,8.268006973781965
533600.0,8.268006973781965
533700.0,8.268006973781965
533800.0,8.268006973781965
533900.0,8.268006973781965
534000.0,8.268006973781965
534100.0,8.268006973781965
534200.0,8.268006973781965
534300.0,8.268006973781965
534400.0,8.268006973781965
534500.0,8.268006973781965
534600.0,8.268006973781965
534700.0,8.268006973781965
534800.0,8.268006973781965
534900.0,8.268006973781965
535000.0,8.268006973781965
535100.0,8.268006973781965
535200.0,8.268006973781965
535300.0,8.268006973781965
535400.0,8.268006973781965
535500.0,8.268006973781965
535600.0,8.268006973781965
535700.0,8.268006973781965
535800.0,8.268006973781965
535900.0,8.268006973781965
536000.0,8.268006973781965
536100.0,8.268006973781965
536200.0,8.268006973781965
536300.0,8.268006973781965
536400.0,8.268006973781965
536500.0,8.268006973781965
536600.0,8.268006973781965
536700.0,8.268006973781965
536800.0,8.268006973781965
536900.0,8.268006973781965
537000.0,8.268006973781965
537100.0,8.268006973781965
537200.0,8.268006973781965
537300.0,8.268006973781965
537400.0,8.268006973781965
537500.0,8.268006973781965
537600.0,8.268006973781965
537700.0,8.268006973781965
537800.0,8.268006973781965
537900.0,8.268006973781965
538000.0,8.268006973781965
538100.0,8.268006973781965
538200.0,8.268006973781965
538300.0,8.268006973781965
538400.0,8.268006973781965
538500.0,8.268006973781965
538600.0,8.268006973781965
538700.0,8.268006973781965
538800.0,8.268006973781965
538900.0,8.268006973781965
539000.0,8.268006973781965
539100.0,8.268006973781965
539200.0,8.268006973781965
539300.0,8.268006973781965
539400.0,8.268006973781965
539500.0,8.268006973781965
539600.0,8.268006973781965
539700.0,8.268006973781965
539800.0,8.268006973781965
539900.0,8.268006973781965
540000.0,8.268006973781965
540100.0,8.268006973781965
540200.0,8.268006973781965
540300.0,8.268006973781965
540400.0,8.268006973781965
540500.0,8.268006973781965
540600.0,8.268006973781965
540700.0,8.268006973781965
540800.0,8.268006973781965
540900.0,8.268006973781965
541000.0,8.268006973781965
541100.0,8.268006973781965
541200.0,8.268006973781965
541300.0,8.268006973781965
541400.0,8.268006973781965
541500.0,8.268006973781965
541600.0,8.268006973781965
541700.0,8.268006973781965
541800.0,8.268006973781965
541900.0,8.268006973781965
542000.0,8.268006973781965
542100.0,8.268006973781965
542200.0,8.268006973781965
542300.0,8.268006973781965
542400.0,8.268006973781965
542500.0,8.268006973781965
542600.0,8.268006973781965
542700.0,8.268006973781965
542800.0,8.268006973781965
542900.0,8.268006973781965
543000.0,8.268006973781965
543100.0,8.268006973781965
543200.0,8.268006973781965
543300.0,8.268006973781965
543400.0,8.268006973781965
543500.0,8.268006973781965
543600.0,8.268006973781965
543700.0,8.268006973781965
543800.0,8.268006973781965
543900.0,8.268006973781965
544000.0,8.268006973781965
544100.0,8.268006973781965
544200.0,8.268006973781965
544300.0,8.268006973781965
544400.0,8.268006973781965
544500.0,8.268006973781965
544600.0,8.268006973781965
544700.0,8.268006973781965
544800.0,8.268006973781965
544900.0,8.268006973781965
545000.0,8.268006973781965
545100.0,8.268006973781965
545200.0,8.268006973781965
545300.0,8.268006973781965
545400.0,8.268006973781965
545500.0,8.268006973781965
545600.0,8.268006973781965
545700.0,8.268006973781965
545800.0,8.268006973781965
545900.0,8.268006973781965
546000.0,8.268006973781965
546100.0,8.268006973781965
546200.0,8.268006973781965
546300.0,8.268006973781965
546400.0,8.268006973781965
546500.0,8.268006973781965
546600.0,8.268006973781965
546700.0,8.268006973781965
546800.0,8.268006973781965
546900.0,8.268006973781965
547000.0,8.268006973781965
547100.0,8.268006973781965
547200.0,8.268006973781965
547300.0,8.268006973781965
547400.0,8.268006973781965
547500.0,8.268006973781965
547600.0,8.268006973781965
547700.0,8.268006973781965
547800.0,8.268006973781965
547900.0,8.268006973781965
548000.0,8.268006973781965
548100.0,8.268006973781965
548200.0,8.268006973781965
548300.0,8.268006973781965
548400.0,8.268006973781965
548500.0,8.268006973781965
548600.0,8.268006973781965
548700.0,8.268006973781965
548800.0,8.268006973781965
548900.0,8.268006973781965
549000.0,8.268006973781965
549100.0,8.268006973781965
549200.0,8.268006973781965
549300.0,8.268006973781965
549400.0,8.268006973781965
549500.0,8.268006973781965
549600.0,8.268006973781965
549700.0,8.268006973781965
549800.0,8.268006973781965
549900.0,8.268006973781965
550000.0,8.268006973781965
550100.0,8.268006973781965
550200.0,8.268006973781965
550300.0,8.268006973781965
550400.0,8.268006973781965
550500.0,8.268006973781965
550600.0,8.268006973781965
550700.0,8.268006973781965
550800.0,8.268006973781965
550900.0,8.268006973781965
551000.0,8.268006973781965
551100.0,8.268006973781965
551200.0,8.268006973781965
551300.0,8.268006973781965
551400.0,8.268006973781965
551500.0,8.268006973781965
551600.0,8.268006973781965
551700.0,8.268006973781965
551800.0,8.268006973781965
551900.0,8.268006973781965
552000.0,8.268006973781965
552100.0,8.268006973781965
552200.0,8.268006973781965
552300.0,8.268006973781965
552400.0,8.268006973781965
552500.0,8.268006973781965
552600.0,8.268006973781965
552700.0,8.268006973781965
552800.0,8.268006973781965
552900.0,8.268006973781965
553000.0,8.268006973781965
553100.0,8.268006973781965
553200.0,8.268006973781965
553300.0,8.268006973781965
