M.D_b.CO2aq Time [a],M.D_b.CO2aq CO2aq [mol/kg]
902100.0,2.766657677694578e-05
902200.0,2.7666576776945787e-05
902300.0,2.766657677694579e-05
902400.0,2.7666576776945797e-05
902500.0,2.7666576776945797e-05
902600.0,2.76665767769458e-05
902700.0,2.7666576776945807e-05
902800.0,2.766657677694581e-05
902900.0,2.7666576776945817e-05
903000.0,2.7666576776945817e-05
903100.0,2.7666576776945824e-05
903200.0,2.7666576776945827e-05
903300.0,2.7666576776945834e-05
903400.0,2.7666576776945838e-05
903500.0,2.7666576776945844e-05
903600.0,2.7666576776945848e-05
903700.0,2.7666576776945855e-05
903800.0,2.7666576776945858e-05
903900.0,2.7666576776945858e-05
